asset,episode_debut,episode_fin,duree_jours,chute_prix_max_pct,buy_and_hold_pct,strategie_pct,strategie_protege
BTC/USD,2025-11-13,2026-05-10,178,-36.97,-17.48,0.0,True
BTC/USD,2026-05-17,2026-07-29,73,-24.4,-17.45,0.0,True
ETH/USD,2023-08-31,2023-10-01,31,-5.73,5.34,0.0,False
ETH/USD,2024-07-31,2024-11-09,101,-31.17,-3.21,0.0,True
ETH/USD,2025-02-01,2025-07-10,159,-52.77,-5.31,5.91,True
ETH/USD,2025-11-03,2026-07-29,268,-56.56,-47.03,0.0,True
SOL/USD,2023-06-05,2023-07-07,32,-27.67,7.44,0.0,False
SOL/USD,2023-08-17,2023-10-01,45,-18.27,10.1,0.0,False
SOL/USD,2024-04-12,2024-05-17,35,-17.35,10.6,0.0,False
SOL/USD,2024-06-10,2024-07-19,39,-19.59,6.43,0.0,False
SOL/USD,2024-08-09,2024-09-27,49,-20.03,0.86,2.61,True
SOL/USD,2025-02-04,2025-07-22,168,-49.03,-0.44,0.0,True
SOL/USD,2025-10-28,2026-07-29,274,-68.0,-62.1,0.0,True
XRP/USD,2025-03-03,2025-07-11,130,-24.77,14.57,-4.9,False
XRP/USD,2025-10-09,2026-06-26,260,-62.83,-62.63,0.0,True
