asset,strategy,rendement_net_pct,profit_factor,max_drawdown_pct,win_rate_pct,nb_trades
BTC/USD,"Trend(SMA150)+RSI(14,30,70)",16.27,1.37,-23.89,50.0,10
BTC/USD,"Ichimoku(9,26,52)+RSI(14,30,70)",2.14,1.5,-9.07,33.33,3
BTC/USD,"MACD(12,26,9)+Bollinger(20,2)",1.2,1.05,-11.31,69.23,13
ETH/USD,"Trend(SMA150)+RSI(14,30,70)",48.0,1.82,-23.58,50.0,10
ETH/USD,"Ichimoku(9,26,52)+RSI(14,30,70)",-15.67,0.24,-21.66,12.5,8
ETH/USD,"MACD(12,26,9)+Bollinger(20,2)",-26.78,0.4,-33.28,50.0,14
SOL/USD,"Trend(SMA150)+RSI(14,30,70)",-19.55,0.62,-32.94,20.0,10
SOL/USD,"Ichimoku(9,26,52)+RSI(14,30,70)",-23.57,0.11,-29.18,20.0,5
SOL/USD,"MACD(12,26,9)+Bollinger(20,2)",-70.55,0.06,-71.89,26.67,15
XRP/USD,"Trend(SMA150)+RSI(14,30,70)",-2.64,0.93,-38.66,40.0,5
XRP/USD,"Ichimoku(9,26,52)+RSI(14,30,70)",-3.69,0.92,-38.58,42.86,7
XRP/USD,"MACD(12,26,9)+Bollinger(20,2)",11.05,1.96,-7.65,55.56,9
