asset,indicator,rendement_net_pct,profit_factor,max_drawdown_pct,win_rate_pct,nb_trades
BTC/USD,Supertrend_10_3,79.41,1.59,-32.64,40.0,15
BTC/USD,ADX_DMI_14_25,-22.92,0.0,-25.24,0.0,7
BTC/USD,Parabolic_SAR,-10.38,0.95,-45.84,39.22,51
BTC/USD,Donchian_Breakout_20,59.22,1.52,-44.2,53.33,15
BTC/USD,OBV_Trend_MA20,-27.71,0.9,-71.56,25.0,76
BTC/USD,CCI_20,41.63,1.21,-49.3,33.33,24
BTC/USD,Williams_R_14,-19.1,0.87,-53.98,46.43,28
BTC/USD,StochRSI_14_14,-1.11,1.0,-55.16,45.0,40
BTC/USD,EMA_Golden_Cross_50_200,249.83,inf,-28.17,100.0,2
ETH/USD,Supertrend_10_3,33.52,1.2,-53.76,37.5,16
ETH/USD,ADX_DMI_14_25,-25.02,0.27,-35.14,20.0,10
ETH/USD,Parabolic_SAR,-75.29,0.59,-83.11,30.77,52
ETH/USD,Donchian_Breakout_20,20.29,1.15,-51.89,46.15,13
ETH/USD,OBV_Trend_MA20,-62.39,0.77,-79.56,15.73,89
ETH/USD,CCI_20,-1.04,0.99,-56.67,33.33,24
ETH/USD,Williams_R_14,2.14,1.01,-70.31,66.67,30
ETH/USD,StochRSI_14_14,82.64,1.22,-55.51,50.0,42
ETH/USD,EMA_Golden_Cross_50_200,7.98,1.24,-51.58,25.0,4
SOL/USD,Supertrend_10_3,258.59,1.54,-57.78,26.67,15
SOL/USD,ADX_DMI_14_25,-13.84,0.62,-30.91,28.57,7
SOL/USD,Parabolic_SAR,96.69,1.14,-61.44,44.9,49
SOL/USD,Donchian_Breakout_20,62.76,1.16,-66.23,37.5,16
SOL/USD,OBV_Trend_MA20,-18.56,0.97,-80.55,22.22,81
SOL/USD,CCI_20,136.51,1.24,-64.91,29.17,24
SOL/USD,Williams_R_14,-49.96,0.78,-71.62,50.0,30
SOL/USD,StochRSI_14_14,-1.09,1.0,-79.05,52.63,38
SOL/USD,EMA_Golden_Cross_50_200,168.76,2.11,-63.39,33.33,3
XRP/USD,Supertrend_10_3,-56.67,0.12,-56.67,16.67,6
XRP/USD,ADX_DMI_14_25,-26.42,0.0,-26.42,0.0,3
XRP/USD,Parabolic_SAR,-63.63,0.4,-71.39,23.81,21
XRP/USD,Donchian_Breakout_20,-52.9,0.14,-63.22,20.0,5
XRP/USD,OBV_Trend_MA20,-64.31,0.24,-64.31,14.81,27
XRP/USD,CCI_20,1.97,1.07,-38.7,42.86,7
XRP/USD,Williams_R_14,-28.95,0.61,-54.78,50.0,16
XRP/USD,StochRSI_14_14,-62.57,0.2,-67.81,38.89,18
XRP/USD,EMA_Golden_Cross_50_200,0.0,,0.0,,0
