asset,indicator,rendement_net_pct,profit_factor,max_drawdown_pct,win_rate_pct,nb_trades
BTC/USD,SMA_Cross_20_50,-6.23,0.94,-57.96,26.09,23
BTC/USD,MACD_12_26_9,-7.74,0.96,-57.3,44.26,61
BTC/USD,RSI_14_Reversal,38.0,1.23,-64.37,68.18,22
BTC/USD,Bollinger_20_2_Reversion,-21.6,0.8,-55.49,58.06,31
BTC/USD,Ichimoku_9_26_52,-27.52,0.55,-44.43,21.43,14
ETH/USD,SMA_Cross_20_50,28.35,1.24,-51.97,47.37,19
ETH/USD,MACD_12_26_9,-79.25,0.59,-87.46,30.43,69
ETH/USD,RSI_14_Reversal,13.35,1.05,-71.11,62.5,24
ETH/USD,Bollinger_20_2_Reversion,-53.27,0.69,-69.4,62.5,32
ETH/USD,Ichimoku_9_26_52,-2.32,0.97,-53.23,38.46,13
SOL/USD,SMA_Cross_20_50,-37.9,0.85,-80.52,26.32,19
SOL/USD,MACD_12_26_9,-74.25,0.58,-94.6,37.1,62
SOL/USD,RSI_14_Reversal,-72.47,0.5,-83.33,57.14,21
SOL/USD,Bollinger_20_2_Reversion,-76.77,0.45,-87.35,48.28,29
SOL/USD,Ichimoku_9_26_52,-40.01,0.58,-51.39,18.18,11
XRP/USD,SMA_Cross_20_50,132.2,1.89,-45.29,41.67,12
XRP/USD,MACD_12_26_9,23.94,1.06,-73.53,33.33,39
XRP/USD,RSI_14_Reversal,383.68,1.92,-64.54,64.29,14
XRP/USD,Bollinger_20_2_Reversion,126.9,2.32,-33.35,76.0,25
XRP/USD,Ichimoku_9_26_52,-18.78,0.29,-33.89,28.57,7
