asset,indicator,params,rendement_net_pct,profit_factor,max_drawdown_pct,win_rate_pct,nb_trades
BTC/USD,SMA_Cross,"{'fast': 10, 'slow': 50}",41.3,1.26,-45.49,39.13,23
BTC/USD,SMA_Cross,"{'fast': 10, 'slow': 100}",46.63,1.3,-42.18,30.77,13
BTC/USD,SMA_Cross,"{'fast': 10, 'slow': 150}",146.62,3.21,-31.08,44.44,9
BTC/USD,SMA_Cross,"{'fast': 20, 'slow': 50}",-6.23,0.94,-57.96,26.09,23
BTC/USD,SMA_Cross,"{'fast': 20, 'slow': 100}",57.27,1.38,-42.21,36.36,11
BTC/USD,SMA_Cross,"{'fast': 20, 'slow': 150}",126.75,2.61,-31.39,57.14,7
BTC/USD,SMA_Cross,"{'fast': 30, 'slow': 50}",-3.21,0.98,-56.46,36.36,22
BTC/USD,SMA_Cross,"{'fast': 30, 'slow': 100}",56.81,1.48,-36.87,44.44,9
BTC/USD,SMA_Cross,"{'fast': 30, 'slow': 150}",70.13,2.22,-40.07,80.0,5
BTC/USD,MACD,"{'fast': 8, 'slow': 21, 'signal': 5}",-21.22,0.93,-54.14,33.33,90
BTC/USD,MACD,"{'fast': 8, 'slow': 21, 'signal': 9}",-5.92,0.98,-52.93,36.99,73
BTC/USD,MACD,"{'fast': 8, 'slow': 21, 'signal': 12}",-6.96,0.97,-55.29,40.0,65
BTC/USD,MACD,"{'fast': 8, 'slow': 26, 'signal': 5}",-26.79,0.91,-61.93,32.93,82
BTC/USD,MACD,"{'fast': 8, 'slow': 26, 'signal': 9}",-46.19,0.81,-64.09,36.11,72
BTC/USD,MACD,"{'fast': 8, 'slow': 26, 'signal': 12}",-51.18,0.76,-67.36,36.36,66
BTC/USD,MACD,"{'fast': 8, 'slow': 30, 'signal': 5}",-37.78,0.87,-62.52,29.67,91
BTC/USD,MACD,"{'fast': 8, 'slow': 30, 'signal': 9}",-56.82,0.72,-61.11,33.33,69
BTC/USD,MACD,"{'fast': 8, 'slow': 30, 'signal': 12}",-60.56,0.65,-64.61,36.92,65
BTC/USD,MACD,"{'fast': 12, 'slow': 21, 'signal': 5}",14.67,1.05,-55.18,43.53,85
BTC/USD,MACD,"{'fast': 12, 'slow': 21, 'signal': 9}",-11.74,0.95,-58.78,40.0,70
BTC/USD,MACD,"{'fast': 12, 'slow': 21, 'signal': 12}",-25.93,0.88,-60.79,41.54,65
BTC/USD,MACD,"{'fast': 12, 'slow': 26, 'signal': 5}",-20.11,0.91,-65.47,42.67,75
BTC/USD,MACD,"{'fast': 12, 'slow': 26, 'signal': 9}",-7.74,0.96,-57.3,44.26,61
BTC/USD,MACD,"{'fast': 12, 'slow': 26, 'signal': 12}",-33.14,0.83,-67.32,44.07,59
BTC/USD,MACD,"{'fast': 12, 'slow': 30, 'signal': 5}",-36.72,0.82,-62.08,34.21,76
BTC/USD,MACD,"{'fast': 12, 'slow': 30, 'signal': 9}",-10.87,0.95,-58.6,48.33,60
BTC/USD,MACD,"{'fast': 12, 'slow': 30, 'signal': 12}",-50.32,0.64,-71.16,41.82,55
BTC/USD,MACD,"{'fast': 16, 'slow': 21, 'signal': 5}",-58.33,0.72,-73.46,43.97,116
BTC/USD,MACD,"{'fast': 16, 'slow': 21, 'signal': 9}",-66.93,0.6,-81.05,43.04,79
BTC/USD,MACD,"{'fast': 16, 'slow': 21, 'signal': 12}",-61.18,0.64,-78.06,39.47,76
BTC/USD,MACD,"{'fast': 16, 'slow': 26, 'signal': 5}",-60.72,0.69,-79.55,41.25,80
BTC/USD,MACD,"{'fast': 16, 'slow': 26, 'signal': 9}",-26.94,0.88,-66.41,41.94,62
BTC/USD,MACD,"{'fast': 16, 'slow': 26, 'signal': 12}",-45.82,0.71,-65.99,37.93,58
BTC/USD,MACD,"{'fast': 16, 'slow': 30, 'signal': 5}",-31.25,0.85,-70.18,37.68,69
BTC/USD,MACD,"{'fast': 16, 'slow': 30, 'signal': 9}",-34.53,0.81,-72.77,33.93,56
BTC/USD,MACD,"{'fast': 16, 'slow': 30, 'signal': 12}",-31.97,0.8,-64.9,42.0,50
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 20, 'upper': 65}",-69.29,0.56,-81.33,35.29,51
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 20, 'upper': 70}",-52.56,0.68,-71.72,45.83,48
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 20, 'upper': 75}",-57.81,0.54,-67.3,48.84,43
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 20, 'upper': 80}",-62.67,0.55,-74.75,53.85,39
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 25, 'upper': 65}",-62.89,0.63,-78.09,36.21,58
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 25, 'upper': 70}",-44.39,0.75,-67.8,50.0,54
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 25, 'upper': 75}",-51.79,0.63,-63.29,54.17,48
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 25, 'upper': 80}",-55.86,0.64,-76.79,60.47,43
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 65}",-21.12,0.91,-63.76,42.65,68
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 70}",11.49,1.04,-62.12,54.84,62
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 75}",-38.03,0.77,-62.78,53.7,54
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 80}",-47.41,0.72,-79.01,57.14,49
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 65}",-39.49,0.83,-69.17,41.33,75
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 70}",-11.26,0.95,-66.79,52.94,68
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 75}",-45.46,0.72,-66.37,50.85,59
BTC/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 80}",-55.69,0.65,-81.52,55.77,52
BTC/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 65}",-57.21,0.27,-61.37,54.17,24
BTC/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 70}",-58.12,0.33,-69.48,54.55,22
BTC/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 75}",-47.56,0.43,-68.24,60.0,20
BTC/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 80}",-37.13,0.6,-72.2,56.25,16
BTC/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 65}",-60.22,0.36,-69.41,55.88,34
BTC/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 70}",-48.71,0.58,-65.96,64.52,31
